Frequency (MHz)	|S(1,1)| : ParallelCircuit_Capacitive.$FPRJ
5874	1
5875	1
5876	1
5877	1
5878	1
5879	1
5880	1
5881	1
5882	1
5883	1
5884	1
5885	1
5886	1
5887	1
5888	1
5889	1
5890	1
5891	1
5892	1
5893	1
5894	1
5895	1
5896	1
5897	1
5898	1
5899	1
5900	1
5901	1
5902	1
5903	1
5904	1
5905	1
5906	1
5907	1
5908	1
5909	1
5910	1
5911	1
5912	1
5913	1
5914	1
5915	1
5916	1
5917	1
5918	1
5919	1
5920	1
5921	1
5922	1
5923	1
5924	1
5925	1
5926	1
5927	1
5928	1
5929	1
5930	1
5931	1
5932	1
5933	1
5934	1
5935	1
5936	1
5937	1
5938	1
5939	1
5940	1
5941	1
5942	1
5943	1
5944	1
5945	1
5946	1
5947	1
5948	1
5949	1
5950	1
5951	1
5952	1
5953	1
5954	1
5955	1
5956	1
5957	1
5958	1
5959	1
5960	1
5961	1
5962	1
5963	1
5964	1
5965	1
5966	1
5967	1
5968	1
5969	1
5970	1
5971	1
5972	1
5973	1
5974	1
5975	1
5976	1
5977	1
5978	1
5979	1
5980	1
5981	1
5982	1
5983	1
5984	1
5985	1
5986	1
5987	1
5988	1
5989	1
5990	1
5991	1
5992	1
5993	1
5994	1
5995	1
5996	1
5997	1
5998	1
5999	1
6000	1
6001	1
6002	1
6003	1
6004	1
6005	1
6006	1
6007	1
6008	1
6009	1
6010	1
6011	1
6012	1
6013	1
6014	1
6015	1
6016	1
6017	1
6018	1
6019	1
6020	1
6021	1
6022	1
6023	1
6024	1
6025	1
6026	1
6027	1
6028	1
6029	1
6030	1
6031	1
6032	1
6033	1
6034	1
6035	1
6036	1
6037	1
6038	1
6039	1
6040	1
6041	1
6042	1
6043	1
6044	1
6045	1
6046	1
6047	1
6048	1
6049	1
6050	1
6051	1
6052	1
6053	1
6054	1
6055	1
6056	1
6057	1
6058	1
6059	1
6060	1
6061	1
6062	1
6063	1
6064	1
6065	1
6066	1
6067	1
6068	1
6069	1
6070	1
6071	1
6072	1
6073	1
6074	1
6075	1
6076	1
6077	1
6078	1
6079	1
6080	1
6081	1
6082	1
6083	1
6084	1
6085	1
6086	1
6087	1
6088	1
6089	1
6090	1
6091	1
6092	1
6093	1
6094	1
6095	1
6096	1
6097	1
6098	1
6099	1
6100	1
6101	1
6102	1
6103	1
6104	1
6105	1
6106	1
6107	1
6108	1
6109	1
6110	1
6111	1
6112	1
6113	1
6114	1
6115	1
6116	1
6117	1
6118	1
6119	1
6120	1
6121	1
6122	1
6123	1
6124	1
6125	1
6126	1
6127	1
6128	1
6129	1
6130	1
6131	1
6132	1
6133	1
6134	1
6135	1
6136	1
6137	1
6138	1
6139	1
6140	1
6141	1
6142	1
6143	1
6144	1
6145	1
6146	1
6147	1
6148	1
6149	1
6150	1
6151	1
6152	1
6153	1
6154	1
6155	1
6156	1
6157	1
6158	1
6159	1
6160	1
6161	1
6162	1
6163	1
6164	1
6165	1
6166	1
6167	1
6168	1
6169	1
6170	1
6171	1
6172	1
6173	1
6174	1
6175	1
6176	1
6177	1
6178	1
6179	1
6180	1
6181	1
6182	1
6183	1
6184	1
6185	1
6186	1
6187	1
6188	1
6189	1
6190	1
6191	1
6192	1
6193	1
6194	1
6195	1
6196	1
6197	1
6198	1
6199	1
6200	1
6201	1
6202	1
6203	1
6204	1
6205	1
6206	1
6207	1
6208	1
6209	1
6210	1
6211	1
6212	1
6213	1
6214	1
6215	1
6216	1
6217	1
6218	1
6219	1
6220	1
6221	1
6222	1
6223	1
6224	0.999999
6225	0.999999
6226	0.999999
6227	0.999999
6228	0.999999
6229	0.999999
6230	0.999999
6231	0.999999
6232	0.999999
6233	0.999999
6234	0.999999
6235	0.999999
6236	0.999999
6237	0.999999
6238	0.999999
6239	0.999999
6240	0.999999
6241	0.999999
6242	0.999999
6243	0.999999
6244	0.999999
6245	0.999999
6246	0.999999
6247	0.999999
6248	0.999999
6249	0.999999
6250	0.999999
6251	0.999999
6252	0.999999
6253	0.999999
6254	0.999999
6255	0.999999
6256	0.999999
6257	0.999999
6258	0.999999
6259	0.999999
6260	0.999999
6261	0.999999
6262	0.999999
6263	0.999999
6264	0.999999
6265	0.999999
6266	0.999999
6267	0.999999
6268	0.999999
6269	0.999999
6270	0.999999
6271	0.999999
6272	0.999999
6273	0.999999
6274	0.999999
6275	0.999999
6276	0.999999
6277	0.999999
6278	0.999999
6279	0.999999
6280	0.999999
6281	0.999999
6282	0.999999
6283	0.999999
6284	0.999999
6285	0.999999
6286	0.999999
6287	0.999999
6288	0.999999
6289	0.999999
6290	0.999999
6291	0.999999
6292	0.999999
6293	0.999999
6294	0.999999
6295	0.999999
6296	0.999999
6297	0.999999
6298	0.999999
6299	0.999999
6300	0.999999
6301	0.999999
6302	0.999999
6303	0.999999
6304	0.999999
6305	0.999999
6306	0.999999
6307	0.999999
6308	0.999999
6309	0.999999
6310	0.999999
6311	0.999999
6312	0.999999
6313	0.999999
6314	0.999999
6315	0.999999
6316	0.999999
6317	0.999999
6318	0.999999
6319	0.999999
6320	0.999999
6321	0.999999
6322	0.999999
6323	0.999999
6324	0.999999
6325	0.999999
6326	0.999999
6327	0.999999
6328	0.999999
6329	0.999999
6330	0.999999
6331	0.999999
6332	0.999999
6333	0.999999
6334	0.999999
6335	0.999999
6336	0.999999
6337	0.999999
6338	0.999999
6339	0.999999
6340	0.999999
6341	0.999999
6342	0.999999
6343	0.999999
6344	0.999999
6345	0.999999
6346	0.999999
6347	0.999999
6348	0.999999
6349	0.999999
6350	0.999999
6351	0.999999
6352	0.999999
6353	0.999999
6354	0.999999
6355	0.999999
6356	0.999999
6357	0.999999
6358	0.999999
6359	0.999999
6360	0.999999
6361	0.999999
6362	0.999999
6363	0.999999
6364	0.999999
6365	0.999999
6366	0.999999
6367	0.999999
6368	0.999999
6369	0.999999
6370	0.999999
6371	0.999999
6372	0.999999
6373	0.999999
6374	0.999999
6375	0.999999
6376	0.999999
6377	0.999999
6378	0.999999
6379	0.999999
6380	0.999999
6381	0.999999
6382	0.999999
6383	0.999999
6384	0.999999
6385	0.999999
6386	0.999999
6387	0.999999
6388	0.999999
6389	0.999999
6390	0.999999
6391	0.999999
6392	0.999999
6393	0.999999
6394	0.999999
6395	0.999999
6396	0.999999
6397	0.999999
6398	0.999999
6399	0.999999
6400	0.999999
6401	0.999999
6402	0.999999
6403	0.999999
6404	0.999999
6405	0.999999
6406	0.999999
6407	0.999999
6408	0.999999
6409	0.999999
6410	0.999999
6411	0.999999
6412	0.999999
6413	0.999999
6414	0.999999
6415	0.999999
6416	0.999999
6417	0.999999
6418	0.999999
6419	0.999999
6420	0.999999
6421	0.999999
6422	0.999999
6423	0.999999
6424	0.999999
6425	0.999999
6426	0.999999
6427	0.999999
6428	0.999999
6429	0.999999
6430	0.999999
6431	0.999999
6432	0.999999
6433	0.999999
6434	0.999999
6435	0.999999
6436	0.999999
6437	0.999999
6438	0.999999
6439	0.999999
6440	0.999999
6441	0.999999
6442	0.999999
6443	0.999999
6444	0.999999
6445	0.999999
6446	0.999999
6447	0.999999
6448	0.999999
6449	0.999999
6450	0.999999
6451	0.999999
6452	0.999999
6453	0.999999
6454	0.999999
6455	0.999999
6456	0.999999
6457	0.999999
6458	0.999999
6459	0.999999
6460	0.999999
6461	0.999999
6462	0.999999
6463	0.999999
6464	0.999999
6465	0.999999
6466	0.999999
6467	0.999999
6468	0.999999
6469	0.999999
6470	0.999999
6471	0.999999
6472	0.999999
6473	0.999999
6474	0.999999
6475	0.999999
6476	0.999999
6477	0.999999
6478	0.999999
6479	0.999999
6480	0.999999
6481	0.999999
6482	0.999999
6483	0.999999
6484	0.999999
6485	0.999999
6486	0.999999
6487	0.999999
6488	0.999999
6489	0.999999
6490	0.999999
6491	0.999999
6492	0.999999
6493	0.999999
6494	0.999999
6495	0.999999
6496	0.999999
6497	0.999999
6498	0.999999
6499	0.999999
6500	0.999999
6501	0.999999
6502	0.999999
6503	0.999999
6504	0.999999
6505	0.999999
6506	0.999999
6507	0.999999
6508	0.999999
6509	0.999999
6510	0.999999
6511	0.999999
6512	0.999999
6513	0.999999
6514	0.999999
6515	0.999999
6516	0.999999
6517	0.999999
6518	0.999999
6519	0.999999
6520	0.999999
6521	0.999999
6522	0.999999
6523	0.999999
6524	0.999999
6525	0.999999
6526	0.999999
6527	0.999999
6528	0.999999
6529	0.999999
6530	0.999999
6531	0.999999
6532	0.999999
6533	0.999999
6534	0.999999
6535	0.999999
6536	0.999999
6537	0.999999
6538	0.999999
6539	0.999999
6540	0.999999
6541	0.999999
6542	0.999999
6543	0.999999
6544	0.999999
6545	0.999999
6546	0.999999
6547	0.999999
6548	0.999999
6549	0.999999
6550	0.999999
6551	0.999999
6552	0.999999
6553	0.999999
6554	0.999999
6555	0.999999
6556	0.999999
6557	0.999999
6558	0.999999
6559	0.999999
6560	0.999999
6561	0.999999
6562	0.999999
6563	0.999999
6564	0.999999
6565	0.999999
6566	0.999999
6567	0.999999
6568	0.999999
6569	0.999999
6570	0.999999
6571	0.999999
6572	0.999999
6573	0.999999
6574	0.999999
6575	0.999999
6576	0.999999
6577	0.999999
6578	0.999999
6579	0.999999
6580	0.999999
6581	0.999999
6582	0.999999
6583	0.999999
6584	0.999999
6585	0.999999
6586	0.999999
6587	0.999999
6588	0.999999
6589	0.999999
6590	0.999999
6591	0.999999
6592	0.999999
6593	0.999999
6594	0.999999
6595	0.999999
6596	0.999999
6597	0.999999
6598	0.999999
6599	0.999999
6600	0.999999
6601	0.999999
6602	0.999999
6603	0.999999
6604	0.999999
6605	0.999999
6606	0.999999
6607	0.999999
6608	0.999999
6609	0.999999
6610	0.999999
6611	0.999999
6612	0.999999
6613	0.999999
6614	0.999999
6615	0.999999
6616	0.999999
6617	0.999999
6618	0.999999
6619	0.999999
6620	0.999999
6621	0.999999
6622	0.999999
6623	0.999999
6624	0.999999
6625	0.999999
6626	0.999999
6627	0.999999
6628	0.999999
6629	0.999999
6630	0.999999
6631	0.999999
6632	0.999999
6633	0.999999
6634	0.999999
6635	0.999999
6636	0.999999
6637	0.999999
6638	0.999999
6639	0.999999
6640	0.999999
6641	0.999999
6642	0.999999
6643	0.999999
6644	0.999999
6645	0.999999
6646	0.999999
6647	0.999999
6648	0.999999
6649	0.999999
6650	0.999999
6651	0.999999
6652	0.999999
6653	0.999999
6654	0.999999
6655	0.999999
6656	0.999999
6657	0.999999
6658	0.999999
6659	0.999999
6660	0.999999
6661	0.999999
6662	0.999999
6663	0.999999
6664	0.999999
6665	0.999999
6666	0.999999
6667	0.999999
6668	0.999999
6669	0.999999
6670	0.999999
6671	0.999999
6672	0.999999
6673	0.999999
6674	0.999999
6675	0.999999
6676	0.999999
6677	0.999999
6678	0.999999
6679	0.999999
6680	0.999999
6681	0.999999
6682	0.999999
6683	0.999999
6684	0.999999
6685	0.999999
6686	0.999999
6687	0.999999
6688	0.999999
6689	0.999999
6690	0.999999
6691	0.999999
6692	0.999999
6693	0.999999
6694	0.999999
6695	0.999999
6696	0.999999
6697	0.999999
6698	0.999999
6699	0.999999
6700	0.999999
6701	0.999999
6702	0.999999
6703	0.999999
6704	0.999999
6705	0.999999
6706	0.999999
6707	0.999999
6708	0.999999
6709	0.999999
6710	0.999999
6711	0.999999
6712	0.999999
6713	0.999999
6714	0.999999
6715	0.999999
6716	0.999999
6717	0.999999
6718	0.999999
6719	0.999999
6720	0.999999
6721	0.999999
6722	0.999999
6723	0.999999
6724	0.999999
6725	0.999999
6726	0.999999
6727	0.999999
6728	0.999999
6729	0.999999
6730	0.999999
6731	0.999999
6732	0.999999
6733	0.999999
6734	0.999999
6735	0.999999
6736	0.999999
6737	0.999999
6738	0.999999
6739	0.999999
6740	0.999999
6741	0.999999
6742	0.999999
6743	0.999999
6744	0.999999
6745	0.999999
6746	0.999999
6747	0.999999
6748	0.999999
6749	0.999999
6750	0.999999
6751	0.999999
6752	0.999999
6753	0.999999
6754	0.999999
6755	0.999999
6756	0.999999
6757	0.999999
6758	0.999999
6759	0.999999
6760	0.999999
6761	0.999999
6762	0.999999
6763	0.999999
6764	0.999999
6765	0.999999
6766	0.999999
6767	0.999999
6768	0.999999
6769	0.999999
6770	0.999999
6771	0.999999
6772	0.999999
6773	0.999999
6774	0.999999
6775	0.999999
6776	0.999999
6777	0.999999
6778	0.999999
6779	0.999999
6780	0.999999
6781	0.999999
6782	0.999999
6783	0.999999
6784	0.999999
6785	0.999999
6786	0.999999
6787	0.999999
6788	0.999999
6789	0.999999
6790	0.999999
6791	0.999999
6792	0.999999
6793	0.999999
6794	0.999999
6795	0.999999
6796	0.999999
6797	0.999999
6798	0.999999
6799	0.999999
6800	0.999999
6801	0.999999
6802	0.999999
6803	0.999999
6804	0.999999
6805	0.999999
6806	0.999999
6807	0.999999
6808	0.999999
6809	0.999999
6810	0.999999
6811	0.999999
6812	0.999999
6813	0.999999
6814	0.999999
6815	0.999999
6816	0.999999
6817	0.999999
6818	0.999999
6819	0.999999
6820	0.999999
6821	0.999999
6822	0.999999
6823	0.999999
6824	0.999999
6825	0.999999
6826	0.999999
6827	0.999999
6828	0.999999
6829	0.999999
6830	0.999999
6831	0.999999
6832	0.999999
6833	0.999999
6834	0.999999
6835	0.999999
6836	0.999999
6837	0.999999
6838	0.999999
6839	0.999999
6840	0.999999
6841	0.999998
6842	0.999998
6843	0.999998
6844	0.999998
6845	0.999998
6846	0.999998
6847	0.999998
6848	0.999998
6849	0.999998
6850	0.999998
6851	0.999998
6852	0.999998
6853	0.999998
6854	0.999998
6855	0.999998
6856	0.999998
6857	0.999998
6858	0.999998
6859	0.999998
6860	0.999998
6861	0.999998
6862	0.999998
6863	0.999998
6864	0.999998
6865	0.999998
6866	0.999998
6867	0.999998
6868	0.999998
6869	0.999998
6870	0.999998
6871	0.999998
6872	0.999998
6873	0.999998
6874	0.999998
6875	0.999998
6876	0.999998
6877	0.999998
6878	0.999998
6879	0.999998
6880	0.999998
6881	0.999998
6882	0.999998
6883	0.999998
6884	0.999998
6885	0.999998
6886	0.999998
6887	0.999998
6888	0.999998
6889	0.999998
6890	0.999998
6891	0.999998
6892	0.999998
6893	0.999998
6894	0.999998
6895	0.999998
6896	0.999998
6897	0.999998
6898	0.999998
6899	0.999998
6900	0.999998
6901	0.999998
6902	0.999998
6903	0.999998
6904	0.999998
6905	0.999998
6906	0.999998
6907	0.999998
6908	0.999998
6909	0.999998
6910	0.999998
6911	0.999998
6912	0.999998
6913	0.999998
6914	0.999998
6915	0.999998
6916	0.999998
6917	0.999998
6918	0.999998
6919	0.999998
6920	0.999998
6921	0.999998
6922	0.999998
6923	0.999998
6924	0.999998
6925	0.999998
6926	0.999998
6927	0.999998
6928	0.999998
6929	0.999998
6930	0.999998
6931	0.999998
6932	0.999998
6933	0.999998
6934	0.999998
6935	0.999998
6936	0.999998
6937	0.999998
6938	0.999998
6939	0.999998
6940	0.999998
6941	0.999998
6942	0.999998
6943	0.999998
6944	0.999998
6945	0.999998
6946	0.999998
6947	0.999998
6948	0.999998
6949	0.999998
6950	0.999998
6951	0.999998
6952	0.999998
6953	0.999998
6954	0.999998
6955	0.999998
6956	0.999998
6957	0.999998
6958	0.999998
6959	0.999998
6960	0.999998
6961	0.999998
6962	0.999998
6963	0.999998
6964	0.999998
6965	0.999998
6966	0.999998
6967	0.999998
6968	0.999998
6969	0.999998
6970	0.999998
6971	0.999998
6972	0.999998
6973	0.999998
6974	0.999998
6975	0.999998
6976	0.999998
6977	0.999998
6978	0.999998
6979	0.999998
6980	0.999998
6981	0.999998
6982	0.999998
6983	0.999998
6984	0.999998
6985	0.999998
6986	0.999998
6987	0.999998
6988	0.999998
6989	0.999998
6990	0.999998
6991	0.999998
6992	0.999998
6993	0.999998
6994	0.999998
6995	0.999998
6996	0.999998
6997	0.999998
6998	0.999998
6999	0.999998
7000	0.999998
7001	0.999998
7002	0.999998
7003	0.999998
7004	0.999998
7005	0.999998
7006	0.999998
7007	0.999998
7008	0.999998
7009	0.999998
7010	0.999998
7011	0.999998
7012	0.999998
7013	0.999998
7014	0.999998
7015	0.999998
7016	0.999998
7017	0.999998
7018	0.999998
7019	0.999998
7020	0.999998
7021	0.999998
7022	0.999998
7023	0.999998
7024	0.999998
7025	0.999998
7026	0.999998
7027	0.999998
7028	0.999998
7029	0.999998
7030	0.999998
7031	0.999998
7032	0.999998
7033	0.999998
7034	0.999998
7035	0.999998
7036	0.999998
7037	0.999998
7038	0.999998
7039	0.999998
7040	0.999998
7041	0.999998
7042	0.999998
7043	0.999998
7044	0.999998
7045	0.999998
7046	0.999998
7047	0.999998
7048	0.999998
7049	0.999998
7050	0.999998
7051	0.999998
7052	0.999998
7053	0.999998
7054	0.999998
7055	0.999998
7056	0.999998
7057	0.999998
7058	0.999998
7059	0.999998
7060	0.999998
7061	0.999998
7062	0.999998
7063	0.999998
7064	0.999998
7065	0.999998
7066	0.999998
7067	0.999998
7068	0.999998
7069	0.999998
7070	0.999998
7071	0.999998
7072	0.999998
7073	0.999998
7074	0.999998
7075	0.999998
7076	0.999998
7077	0.999998
7078	0.999998
7079	0.999998
7080	0.999998
7081	0.999998
7082	0.999998
7083	0.999998
7084	0.999998
7085	0.999998
7086	0.999998
7087	0.999998
7088	0.999998
7089	0.999998
7090	0.999998
7091	0.999998
7092	0.999998
7093	0.999998
7094	0.999998
7095	0.999998
7096	0.999998
7097	0.999998
7098	0.999998
7099	0.999998
7100	0.999998
7101	0.999998
7102	0.999998
7103	0.999998
7104	0.999998
7105	0.999998
7106	0.999998
7107	0.999998
7108	0.999998
7109	0.999998
7110	0.999998
7111	0.999998
7112	0.999998
7113	0.999998
7114	0.999998
7115	0.999998
7116	0.999998
7117	0.999998
7118	0.999998
7119	0.999998
7120	0.999998
7121	0.999998
7122	0.999998
7123	0.999998
7124	0.999998
7125	0.999998
7126	0.999998
7127	0.999998
7128	0.999998
7129	0.999998
7130	0.999998
7131	0.999998
7132	0.999998
7133	0.999998
7134	0.999998
7135	0.999998
7136	0.999998
7137	0.999998
7138	0.999998
7139	0.999998
7140	0.999998
7141	0.999998
7142	0.999998
7143	0.999998
7144	0.999998
7145	0.999998
7146	0.999998
7147	0.999998
7148	0.999998
7149	0.999998
7150	0.999998
7151	0.999998
7152	0.999998
7153	0.999998
7154	0.999998
7155	0.999998
7156	0.999998
7157	0.999998
7158	0.999998
7159	0.999998
7160	0.999998
7161	0.999998
7162	0.999998
7163	0.999998
7164	0.999998
7165	0.999998
7166	0.999998
7167	0.999998
7168	0.999998
7169	0.999998
7170	0.999998
7171	0.999998
7172	0.999998
7173	0.999998
7174	0.999998
7175	0.999998
7176	0.999998
7177	0.999998
7178	0.999998
7179	0.999998
7180	0.999998
7181	0.999998
7182	0.999998
7183	0.999998
7184	0.999998
7185	0.999998
7186	0.999998
7187	0.999998
7188	0.999998
7189	0.999998
7190	0.999998
7191	0.999998
7192	0.999998
7193	0.999998
7194	0.999998
7195	0.999998
7196	0.999998
7197	0.999998
